"0W"	"1W"	"2W"	"3W"	"4W"	"5W"	"cluster"	"membership"
"Porphyromonadaceae_unclassified"	-0.267953142878929	-1.77109277591095	-0.118983570272917	0.445158925523746	0.619638797790445	1.09323176574861	2	0.390466407388595
"Blautia"	-1.83973465891155	-0.253027595268969	0.942323942488125	0.031241715334474	0.693953150750456	0.425243445607465	2	0.327473789118871
"Barnesiella"	-1.39182070216789	-0.754709716771295	-0.0752547925580028	0.0207046855024668	1.28051063231765	0.920569893677073	3	0.433615557898228
"Lachnospiraceae_unclassified"	1.97396068216929	0.0747458475155353	-0.415652247834959	-0.659776817972886	-0.396678929752108	-0.576598534124878	4	0.696560156227105
"Prevotella"	0.969982475902358	-0.801926548658203	-1.14636877172471	1.20668219584692	0.44246972523276	-0.670839076599118	7	0.257205479050401
"Lachnospiracea_incertae_sedis"	-1.12699156326745	0.894431699446997	1.52887026735374	-0.296596212259875	-0.548612155407137	-0.451102035866268	1	0.538720630792011
"Clostridiales_unclassified"	-0.300860760794199	-0.707793064652659	-0.0587644450121245	1.97951231195798	-0.268121827142949	-0.643972214356052	7	0.81246805723293
"Alloprevotella"	-1.04036485556081	-1.4507067594787	0.5269048380942	0.84959612888829	0.247031629503734	0.867539018553294	2	0.625110226823418
"Bacteroides"	1.00659333700825	-0.88362593049789	1.44934643213724	-0.705705986469732	-0.773777467223939	-0.0928303849539226	8	0.278966103037802
"Ruminococcaceae_unclassified"	2.03972743269871	-0.426428777992177	-0.474377118044482	-0.367139516273284	-0.389183392704901	-0.382598627683863	4	0.967372625939576
"Phascolarctobacterium"	-1.50338402916444	1.55411761878668	-0.44348219589463	-0.0939695520220887	0.226026014781893	0.260692143512588	5	0.305358241876638
"Allobaculum"	-0.707206370721971	2.00823635533555	-0.426526613188118	-0.308073335165784	-0.161579772965514	-0.404850263294166	5	0.782279567718464
"Helicobacter"	-0.777761371195238	1.82057031226251	0.509168030176194	-0.504736226695959	-0.619128637811042	-0.42811210673647	1	0.506566469562672
"Lactobacillus"	-0.523858227310298	2.03551386514507	-0.442124841075696	-0.3998196969198	-0.371387855597391	-0.298323244241887	5	0.922370927535533
"Streptococcus"	-0.433298312433735	2.03859060750063	-0.305957694565446	-0.428353204171756	-0.435618541997799	-0.435362854331888	5	0.961744493481127
"Oscillibacter"	1.53797369888678	-1.13153435952508	-1.0202625460872	-0.0544965732242034	0.125550576701013	0.542769203248688	6	0.552676881111198
"Parasutterella"	-1.37856298107664	1.71775070773392	-0.301215332044202	-0.139793470098281	-0.0783952181958161	0.180216293681021	5	0.377192646285398
"Erysipelotrichaceae_unclassified"	-0.923576794130544	1.92372931688037	-0.294488109533355	-0.329284087150227	0.112050647889378	-0.488430973955618	5	0.578972153447331
"Roseburia"	-0.383496587724467	-0.749864293691493	-0.742295285128016	-0.427891592098733	1.82385061049282	0.479697148149883	3	0.616920597112691
"Fusicatenibacter"	-0.965119034087329	0.991517705042146	-0.715403326083273	-0.565275389190552	-0.229449287616865	1.48372933193587	5	0.195281968253248
"Anaerostipes"	0.0610377591569174	-1.53113777570788	1.14381948598262	-0.78722220866872	0.784682835500704	0.328819903736358	8	0.223207801336431
"Romboutsia"	-0.418411086224145	2.03763060879063	-0.300089206528623	-0.441972016401658	-0.476641786200874	-0.400516513435327	5	0.964764834888694
"Ruminococcus"	2.02988823520131	-0.327434814013604	-0.2770660149841	-0.424585795576229	-0.415255080871043	-0.585546529756336	4	0.89925525128023
"Clostridium_XlVa"	1.73050809351832	-1.38170445461778	-0.0243463278156226	-0.292738236667972	-0.0845729624995975	0.05285388808265	6	0.531028512099386
"Bifidobacterium"	-1.72126667747373	-0.0140759590785424	-0.471346187925752	0.414763711369779	1.03261708768863	0.759308025419619	3	0.325179615429969
"Turicibacter"	-0.351083711597871	2.03952228521763	-0.42936468015206	-0.429758426187474	-0.460268423039684	-0.369047044240539	5	0.984698075997823
"Paraprevotella"	2.01959518715217	-0.498224310089121	-0.491293473206941	-0.564170193690853	-0.18388340862332	-0.282023801541936	4	0.764486953228746
"Clostridium_IV"	1.99924598914445	-0.0413422979476423	-0.365289669670092	-0.425660184733638	-0.529659983087949	-0.637293853705132	4	0.76430975100147
"Parabacteroides"	0.0544356574696511	-1.47808765165865	1.63665928368779	-0.0344370779345605	0.152076106680556	-0.330646318244786	8	0.38525224924068
"Butyricicoccus"	1.16445343994334	-1.45840794585179	0.0460375215339134	-0.648037990979112	1.03689772829042	-0.140942752936774	6	0.274432018114805
"Clostridium_XI"	-0.867097184693393	1.52212821185382	1.00101945316835	-0.469265287321148	-0.642325082125985	-0.544460110881648	1	0.858052681668616
"Flavonifractor"	1.96794182865459	-0.163101838069814	-0.316546920034813	-0.113022673450739	-0.832449458178375	-0.542820938920852	4	0.636689480319088
